Time (s),Acceleration Without HSI (m/s²),Acceleration With HSI (m/s²)
2.23,-0.012557627589676115,-0.012553036934124587
2.24,-0.009294849597612388,-0.009293015461249875
2.25,-0.005897191347357146,-0.005898277137245305
2.2600000000000002,-0.0024368589942072925,-0.0024408681714080138
2.27,0.0010491050793357817,0.001042250581078851
2.2800000000000002,0.004536539615173443,0.004526969295841054
2.29,0.00799067388645835,0.00797859695885809
2.3000000000000003,0.011363209653603256,0.011348937091269686
2.31,0.014608381377125161,0.01459227404371223
2.32,0.01769627640542991,0.017678625905902447
2.33,0.020604692152275467,0.020585620441851013
2.34,0.023293728063965242,0.02327319566039134
2.35,0.025687313503564218,0.02566524468819955
2.36,0.02768285837132032,0.027659297655398832
2.37,0.02918633522641841,0.029161528967798056
2.38,0.030147629282854447,0.0301219970780225
2.39,0.03057085263444282,0.030544906720051244
2.4,0.030496186521187702,0.03047048585316912
2.41,0.029972819015849098,0.029947985063501225
2.42,0.029045560497098378,0.02902229791019143
2.43,0.027759445965721104,0.027738490618254136
2.44,0.02616621603277818,0.02614820013492412
2.45,0.024314549182155133,0.02429986442373401
2.46,0.022224229358832958,0.022212993347729935
2.47,0.019864742301486184,0.019856901496028118
2.48,0.017160523094704883,0.01715601958628853
2.49,0.014025445648997594,0.014024331522422164
2.5,0.010405883081199597,0.010408322572337843
2.5100000000000002,0.006305994856417048,0.006312194963871225
2.52,0.0017853560011115775,0.0017955149230328776
2.5300000000000002,-0.00305843366847598,-0.0030441165618749683
2.54,-0.008101849326062744,-0.008083147259615732
2.5500000000000003,-0.013194871021488924,-0.01317157096974177
2.56,-0.01815952368584016,-0.018131562539597985
2.57,-0.02280469826172236,-0.022772322102864236
2.58,-0.02696008992581502,-0.026923918986347797
2.59,-0.03051183772292982,-0.030472777530635112
2.6,-0.03341632661855079,-0.033375379094284535
2.61,-0.035683407935267863,-0.03564150354721477
2.62,-0.037342956113472096,-0.03730089128506864
2.63,-0.03841882479496876,-0.038377287316869665
